"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"37765",43497,"KVWM-FM (Show Low)","Tower","AZ","Navajo",34.2205979,-110.0309432,1967,6453,46,43497,45.6304202801868,45.6283041886946,1
"134278",170823,"Martin Gap","Gap","CO","Moffat",40.2633037,-108.772886,1782,5846,20,170823,41.5165665999555,41.5141656499932,1
"58519",65662,"Alma Intermediate School","School","AR","Crawford",35.4936973,-94.2404891,144,472,7,65662,5.0922837447187,5.09014504541141,1
"836388",910663,"San Mateo Creek","Stream","NM","Cibola",35.2539238,-107.8611699,2009,6591,1,910663,46.5643762508339,46.5636437576251,2
"441913",490857,"Dial Branch","Stream","KY","Floyd",37.659542,-82.7007127,200,656,1,490857,6.33755837224817,6.33726447065203,1
"78352",113310,"Avondale","Populated Place","AL","Jefferson",33.5217717,-86.778045,196,643,15,113310,6.24861018456749,6.24915277212959,1
"197449",235223,"Sprig Lake","Reservoir","CA","Santa Clara",37.0045784,-121.6819469,146,479,13,235223,5.13675783855904,5.13758980615426,1
"603643",665994,"Township of Wildwood","Civil","MN","Itasca",47.0690863,-93.507965,393,1289,42,665994,10.6293084278408,10.6276264063983,2
"652982",724376,"Pine Crest","Populated Place","MO","Texas",37.0919961,-91.6587544,367,1204,15,724376,10.0511452079164,10.0515114545208,2
"61231",68552,"South Heights Shopping Center","Locale","AR","Pulaski",34.6678705,-92.3295966,86,282,4,68552,3.8025350233489,3.80235868239122,1
"625423",687878,"New Hope Church (historical)","Church","MS","Lowndes",33.4906737,-88.3283704,74,243,38,687878,3.53569046030687,3.53802358682391,2
"20451",25986,"Barnett Spring","Spring","AZ","Gila",34.1960179,-111.4652385,1181,3875,11,25986,28.152101400934,28.1550765893995,1
"1019503",1101944,"Panther Falls","Falls","OK","Murray",34.502867,-96.9655718,291,955,30,1101944,8.36112964198355,8.36383353666802,2
"514602",575201,"Second Machias Lake","Lake","ME","Washington",45.0521781,-67.8776859,71,233,18,575201,3.46897931954636,3.47024535719127,2
"810577",884493,"Spring Brook Golf Course","Locale","NJ","Morris",40.7837113,-74.4907107,97,318,4,884493,4.04714253947076,4.04636030906873,2
"425505",474395,"Gilmore Branch","Stream","KS","Butler",37.9455736,-96.785025,407,1335,1,474395,10.9406270847231,10.9394062627084,1
"542898",603903,"The Country Club","Locale","MA","Norfolk",42.3153755,-71.1486641,65,213,4,603903,3.33555703802535,3.33468889792599,2
"199270",237051,"Ventura School (historical)","School","CA","Santa Clara",37.4179953,-122.1277414,11,36,7,237051,2.13475650433622,2.13501423342822,1
"869051",946749,"Clark Cemetery","Cemetery","NY","Jefferson",43.8289528,-76.1727045,112,367,26,946749,4.38069824327329,4.37847363426867,2
"14906",15399,"Howenstine High Magnet School","School","AZ","Pima",32.2146684,-110.9345756,749,2457,7,15399,18.5456971314209,18.5441236274908,1
"862260",937273,"Strauss Post Office (historical)","Post Office","NM","Doña Ana",31.8642713,-106.6988813,1253,4111,57,937273,29.7531687791861,29.7546428087298,2
"818326",892387,"Navajo Church","Pillar","NM","McKinley",35.557522,-108.6014696,2212,7257,34,892387,51.0784967756282,51.077673851159,2
"152041",188641,"Cutler Creek","Stream","CO","Ouray",38.0849924,-107.7058931,2203,7228,1,188641,50.8783633533467,50.8811169852244,1
"597001",658395,"Spinnan Lake","Lake","MN","Lake",47.8764717,-91.462827,455,1493,18,658395,12.0080053368913,12.0103022909042,2
"709575",782380,"Dieders Fork","Stream","MT","Powell",46.2779833,-112.6019746,1844,6050,1,782380,42.895263509006,42.8968415344991,2
"723714",796779,"Powell Number 2 Dam","Dam","MT","Custer",46.0500018,-105.863886,827,2713,22,796779,20.2801867911941,20.2792463060865,2
"755551",828834,"Dry Creek","Stream","NE","Holt",42.2322276,-98.5639721,606,1988,1,828834,15.3657994218368,15.3653246577199,2
"295853",335014,"Mile Pond","Lake","GA","Crisp",31.9992715,-83.902845,81,266,18,335014,3.69134978874805,3.69391351497899,1
"518813",579430,"Ingalls","Populated Place","ME","Cumberland",43.985349,-70.7256171,250,820,15,579430,7.44941071825662,7.44882743662735,2
"936120",1015034,"Rocky Cove Branch","Stream","NC","Clay",35.1173114,-83.8057309,746,2447,1,1015034,18.4789859906604,18.4763453978582,2
"91937",126942,"Skull Branch","Stream","AL","Clarke",31.5940485,-87.7263851,34,112,1,126942,2.64620858350011,2.6501287786363,1
"877097",954810,"Kossuth","Populated Place","NY","Allegany",42.0642333,-78.1422313,521,1709,15,954810,13.4756504336224,13.4743120509692,2
"130643",167152,"Deer Post Office (historical)","Post Office","AL","Winston",34.13805,-87.50084,196,643,57,167152,6.24861018456749,6.24915277212959,1
"595488",656880,"Kerr Lake","Lake","MN","Cass",46.9409741,-94.3673268,406,1332,18,656880,10.918390037803,10.9190727938186,2
"394038",442560,"Saint John Cemetery","Cemetery","IN","Allen",41.0767154,-85.00719,230,755,26,442560,7.00466977985324,7.00826894401518,1
"622114",684552,"Parkway","Populated Place","MS","Lee",34.2653843,-88.7100529,97,318,15,684552,4.04714253947076,4.04636030906873,2
"801292",875174,"Canistear Reservoir","Reservoir","NJ","Sussex",41.1203165,-74.4850071,330,1083,13,875174,9.22837447187014,9.23139487596584,2
"364105",412302,"Little Family Cemetery","Cemetery","IL","Hancock",40.5955979,-91.2195919,207,679,26,412302,6.49321770068935,6.4931543988071,1
"924132",1002947,"Oxxford Hunt","Populated Place","NC","Wake",35.7726513,-78.8130619,118,387,15,1002947,4.51412052479431,4.51403009353396,2
